Employee_ID,Full_Name,Department,Joining_Date,Annual_Salary,Performance_Score,Remote_Work,Years_Experience
1059,Employee 59,Marketing,2021-02-14,,1.8,Yes,
1060,Employee 60,Engineering,2021-02-21,99384.0,3.9,No,2.0
1061,Employee 61,Engineering,2021-02-28,96005.0,2.1,No,19.0
1062,Employee 62,Marketing,2021-03-07,91576.0,1.1,,9.0
1063,Employee 63,,2021-03-14,84353.0,3.6,No,7.0
1064,Employee 64,Engineering,2021-03-21,107003.0,1.7,Yes,4.0
1065,Employee 65,Engineering,2021-03-28,97733.0,4.8,Yes,18.0
1066,Employee 66,Marketing,2021-04-04,110318.0,4.8,No,13.0
1067,Employee 67,Engineering,2021-04-11,68664.0,4.7,Yes,11.0
1068,Employee 68,Engineering,2021-04-18,112172.0,2.5,Yes,
1069,Employee 69,Marketing,2021-04-25,,1.1,No,4.0
1070,Employee 70,Marketing,2021-05-02,45854.0,4.7,No,10.0
1071,Employee 71,Sales,2021-05-09,83623.0,2.7,Yes,5.0
1072,Employee 72,Finance,2021-05-16,52392.0,4.9,No,9.0
1073,Employee 73,Finance,2021-05-23,100680.0,4.9,Yes,3.0
1074,Employee 74,Engineering,2021-05-30,91717.0,4.4,No,17.0
1075,Employee 75,Finance,2021-06-06,95859.0,2.2,Yes,3.0
1076,Employee 76,Engineering,2021-06-13,71309.0,,No,16.0
1077,Employee 77,Sales,2021-06-20,108734.0,4.4,Yes,4.0
1078,Employee 78,Marketing,2021-06-27,115467.0,2.3,Yes,18.0
1079,Employee 79,Marketing,2021-07-04,97662.0,1.7,Yes,17.0
1080,Employee 80,Marketing,2021-07-11,,,No,7.0
1081,Employee 81,Finance,2021-07-18,70342.0,4.7,Yes,5.0
1082,Employee 82,Sales,2021-07-25,82157.0,3.8,Yes,12.0
1083,Employee 83,Finance,2021-08-01,112863.0,3.3,No,17.0
1084,Employee 84,Finance,2021-08-08,,1.4,No,13.0
1085,Employee 85,Sales,2021-08-15,110733.0,3.5,Yes,3.0
1086,Employee 86,Sales,2021-08-22,79698.0,5.0,,9.0
1087,Employee 87,Sales,2021-08-29,67671.0,1.6,No,17.0
1088,Employee 88,Sales,2021-09-05,70184.0,3.1,No,
1089,Employee 89,,2021-09-12,,4.5,No,16.0
1090,Employee 90,,2021-09-19,96663.0,4.0,No,13.0
1091,Employee 91,HR,2021-09-26,60708.0,3.8,No,19.0
1092,Employee 92,Sales,2021-10-03,,3.8,,17.0
1093,Employee 93,HR,2021-10-10,47811.0,2.4,No,4.0
1094,Employee 94,HR,2021-10-17,101250.0,2.2,,12.0
1095,Employee 95,Sales,2021-10-24,,4.2,Yes,9.0
1096,Employee 96,,2021-10-31,79754.0,4.2,Yes,19.0
1097,Employee 97,Finance,2021-11-07,56411.0,4.5,No,12.0
1098,Employee 98,Engineering,2021-11-14,47911.0,4.7,Yes,9.0
1099,Employee 99,Engineering,2021-11-21,112270.0,3.0,Yes,7.0
1100,Employee 100,Sales,2021-11-28,53680.0,3.0,No,14.0
